bike,year,category,displacement_ccm,engine_cylinder,power_hp,seat_height_mm,dry_weight_kg
Kymco zing ii 125,2013,Custom / cruiser,0,0,0,0,0
Kawasaki 250tr,2013,Enduro / offroad,0,0,0,0,0
Pitster Pro t4 250 sc 19x16,2013,Enduro / offroad,0,0,0,1,0
Honda xr 200,2013,Enduro / offroad,0,0,0,1,0
Bimota dbx,2013,Enduro / offroad,1,0,1,1,0
Qlink db 250,2013,Enduro / offroad,0,0,0,1,0
Sachs zx 125 enduro,2013,Enduro / offroad,0,0,0,1,0
Hyosung rt125d,2013,Enduro / offroad,0,0,0,0,0
Qlink xf 200,2013,Enduro / offroad,0,0,0,1,0
Yamaha xt660r,2013,Enduro / offroad,1,0,0,1,0
Aprilia rx 125,2013,Enduro / offroad,0,0,0,1,0
Ktm 690 enduro r,2013,Enduro / offroad,1,0,0,1,0
Ktm 350 exc-f,2013,Enduro / offroad,0,0,0,1,0
Bmw g 650 gs sertao,2013,Enduro / offroad,1,0,0,1,0
Bmw f 700 gs,2013,Enduro / offroad,1,0,0,1,0
Rieju marathon 125 pro,2013,Enduro / offroad,0,0,0,1,0
Ccm c-xr230,2013,Enduro / offroad,0,0,0,1,0
Bmw g 650 gs,2013,Enduro / offroad,1,0,0,0,0
Bmw r 1200 gs adventure,2013,Enduro / offroad,1,1,1,1,0
Bmw f 800 gs,2013,Enduro / offroad,1,0,1,1,0
Hartford vr-200h,2013,Enduro / offroad,0,0,0,1,0
Honda cb600f hornet abs,2013,Naked bike,1,1,1,0,0
Aprilia shiver 750 abs,2013,Naked bike,1,0,1,0,0
Yamaha xjr1300,2013,Naked bike,1,1,1,0,0
Aprilia tuono v4 r,2013,Naked bike,1,1,1,1,0
Aprilia tuono v4 r aprc,2013,Naked bike,1,1,1,1,0
Avinton collector race,2013,Naked bike,1,0,1,0,0
Avinton collector roadster,2013,Naked bike,1,0,1,0,0
Bimota db6 delirio e,2013,Naked bike,1,0,1,0,0
Bimota db6 delirio re,2013,Naked bike,1,0,1,0,0
Bmw f 800 r,2013,Naked bike,1,0,1,0,0
Bmw k 1300 r,2013,Naked bike,1,1,1,1,0
Bmw k 1300 r dynamic edition,2013,Naked bike,1,1,1,1,0
Bmw r 1200 r,2013,Naked bike,1,1,1,0,0
Yamaha mt-03,2013,Naked bike,1,0,0,0,0
Yamaha fz1 fazer abs,2013,Naked bike,1,1,1,1,0
Yamaha fz1 fazer,2013,Naked bike,1,1,1,1,0
Confederate r135 wraith combat,2013,Naked bike,1,0,1,0,0
Confederate x132 hellcat combat,2013,Naked bike,1,0,1,0,0
Cr&S duu,2013,Naked bike,1,0,1,0,0
Cr&S vun,2013,Naked bike,1,0,0,0,0
Ducati diavel,2013,Naked bike,1,0,1,0,0
Ducati diavel carbon,2013,Naked bike,1,0,1,0,0
Ducati diavel cromo,2013,Naked bike,1,0,1,0,0
Ducati diavel dark,2013,Naked bike,1,0,1,0,0
Ducati monster 1100 evo,2013,Naked bike,1,0,1,0,0
Ducati monster 1100 evo 20th anniversary,2013,Naked bike,1,0,1,0,0
Ducati monster 696,2013,Naked bike,1,0,1,0,0
Ducati monster 696 20th anniversary,2013,Naked bike,1,0,1,0,0
Ducati monster 795,2013,Naked bike,1,0,1,0,0
Ducati monster 795 abs,2013,Naked bike,1,0,1,0,0
Ducati monster 796,2013,Naked bike,1,0,1,0,0
Ducati monster 796 20th anniversary,2013,Naked bike,1,0,1,0,0
Ducati monster diesel,2013,Naked bike,1,0,1,0,0
Ducati streetfighter 848,2013,Naked bike,1,0,1,1,0
Ducati streetfighter s,2013,Naked bike,1,0,1,1,0
Honda cb500f,2013,Naked bike,0,0,0,0,0
Honda cb600f hornet 600,2013,Naked bike,1,1,1,0,0
Honda vtr,2013,Naked bike,0,0,0,0,0
Horex vr6 roadster,2013,Naked bike,1,1,1,0,0
Husqvarna nuda 900,2013,Naked bike,1,0,1,1,0
Keeway rks 125,2013,Naked bike,0,0,0,0,0
Keeway rks 150,2013,Naked bike,0,0,0,0,0
Keeway rks 200,2013,Naked bike,0,0,0,0,0
Keeway rkv 125,2013,Naked bike,0,0,0,0,0
Keeway rkv 150,2013,Naked bike,0,0,0,0,0
Keeway rkv 200,2013,Naked bike,0,0,0,0,0
Ktm 125 duke,2013,Naked bike,0,0,0,0,0
Ktm 690 duke,2013,Naked bike,1,0,0,1,0
Ktm 690 duke r,2013,Naked bike,1,0,0,1,0
Ktm 990 super duke r,2013,Naked bike,1,0,1,1,0
Loncin jl150-58 cr1,2013,Naked bike,0,0,0,0,0
Loncin lx150-30a spitzer nk,2013,Naked bike,0,0,0,0,0
Loncin lx175-21 cr5,2013,Naked bike,0,0,0,0,0
Megelli naked 125 s,2013,Naked bike,0,0,0,0,0
Megelli naked 250 s,2013,Naked bike,0,0,0,0,0
Moto Guzzi griso 8v se,2013,Naked bike,1,0,1,0,0
Mv Agusta brutale 1090,2013,Naked bike,1,1,1,1,0
Mv Agusta brutale 1090 r,2013,Naked bike,1,1,1,1,0
Mv Agusta brutale 1090 rr,2013,Naked bike,1,1,1,1,0
Mv Agusta brutale 675,2013,Naked bike,1,1,1,0,0
Mv Agusta brutale 800,2013,Naked bike,1,1,1,0,0
Travertson v-rex,2013,Naked bike,1,0,1,0,0
Mv Agusta rivale 800,2013,Naked bike,1,1,1,0,0
Vespa gts 125 super,2013,Scooter,0,0,0,0,0
Kymco downtown 300i,2013,Scooter,0,0,0,0,0
Keeway ry6,2013,Scooter,0,0,0,0,0
Honda wave 100,2013,Scooter,0,0,0,0,0
Honda wave 100r,2013,Scooter,0,0,0,0,0
Vento phantom r5,2013,Scooter,0,0,0,1,0
Aprilia scarabeo 200ie,2013,Scooter,0,0,0,0,0
Hyosung sense,2013,Scooter,0,0,0,0,0
Aprilia scarabeo 125ie,2013,Scooter,0,0,0,0,0
Honda wave 110i,2013,Scooter,0,0,0,0,0
Mz anthony 50 2t,2013,Scooter,0,0,0,0,0
Hyosung rally,2013,Scooter,0,0,0,0,0
Hyosung prima,2013,Scooter,0,0,0,0,0
Keeway kee 110,2013,Scooter,0,0,0,0,0
Hyosung ms3-250,2013,Scooter,0,0,0,0,0
Honda wave 125,2013,Scooter,0,0,0,0,0
Honda wave dash 110,2013,Scooter,0,0,0,0,0
Bmw c 600 sport,2013,Scooter,1,0,0,0,0
Kymco downtown 200i,2013,Scooter,0,0,0,0,0
Honda xrm 125 dual sport,2013,Scooter,0,0,0,0,0
Honda xrm 125 motard,2013,Scooter,0,0,0,0,0
Kreidler florett 2.0 rs 50,2013,Scooter,0,0,0,1,0
Keeway target 125,2013,Scooter,0,0,0,0,0
Keeway kee 100,2013,Scooter,0,0,0,0,0
Kreidler florett 50 city,2013,Scooter,0,0,0,1,0
Keeway joy 110,2013,Scooter,0,0,0,0,0
Kreidler florett rs 50 dd,2013,Scooter,0,0,0,1,0
Honda xrm 125 off-road,2013,Scooter,0,0,0,0,0
Kreidler flory 50 classic,2013,Scooter,0,0,0,0,0
Honda zoomer,2013,Scooter,0,0,0,0,0
Piaggio fly 50 4v,2013,Scooter,0,0,0,0,0
Vento hot rod,2013,Scooter,0,0,0,1,0
Kymco agility 125,2013,Scooter,0,0,0,1,0
Keeway victoria 50,2013,Scooter,0,0,0,0,0
Kreidler galactica 2.0 50 dd,2013,Scooter,0,0,0,1,0
Kreidler galactica 2.0 50 dd city,2013,Scooter,0,0,0,1,0
Puma verbano 250,2013,Scooter,0,0,0,0,0
Kreidler galactica 2.0 rc 50,2013,Scooter,0,0,0,1,0
Mz emmely 50 4t,2013,Scooter,0,0,0,0,0
Mz emmely el2,2013,Scooter,0,0,0,0,0
Kreidler galactica 2.0 rs 50 dd,2013,Scooter,0,0,0,1,0
Lambretta lt 50,2013,Scooter,0,0,0,0,0
Vespa px 125,2013,Scooter,0,0,0,0,0
Qlink estate 50,2013,Scooter,0,0,0,0,0
Suzuki skydrive 125,2013,Scooter,0,0,0,0,0
Kreidler insignio 2.0 125 dd,2013,Scooter,0,0,0,0,0
Kreidler insignio 2.0 250 dd,2013,Scooter,0,0,0,1,0
Lambretta ln151,2013,Scooter,0,0,0,0,0
Lambretta ln125,2013,Scooter,0,0,0,0,0
Loncin lx150t-7ii falcon iv,2013,Scooter,0,0,0,0,0
Yamaha x-city 125,2013,Scooter,0,0,0,0,0
Mz max 50 2t,2013,Scooter,0,0,0,0,0
Vespa lxv 125,2013,Scooter,0,0,0,0,0
Vespa lxv 150 ie,2013,Scooter,0,0,0,0,0
Lambretta lj 50,2013,Scooter,0,0,0,0,0
Kymco xciting 400i,2013,Scooter,0,0,0,0,0
Vespa s 150 ie.,2013,Scooter,0,0,0,0,0
Kymco super 8 50,2013,Scooter,0,0,0,0,0
Kymco super 8 150,2013,Scooter,0,0,0,0,0
Vespa lx 50 4v,2013,Scooter,0,0,0,0,0
Loncin th125,2013,Scooter,0,0,0,0,0
Honda beat scooter,2013,Scooter,0,0,0,0,0
Vespa s 150 sport se,2013,Scooter,0,0,0,0,0
Kreidler vabene 50,2013,Scooter,0,0,0,0,0
Honda benly,2013,Scooter,0,0,0,0,0
Vento zip r3i turbocam,2013,Scooter,0,0,0,0,0
Honda benly 110,2013,Scooter,0,0,0,0,0
Suzuki nex 115,2013,Scooter,0,0,0,0,0
Sachs bee 2,2013,Scooter,0,0,0,0,0
Sachs futuro 125,2013,Scooter,0,0,0,0,0
Vespa gts 300 super sport se,2013,Scooter,0,0,0,0,0
Honda benly 110 pro,2013,Scooter,0,0,0,0,0
Honda benly pro,2013,Scooter,0,0,0,0,0
Kymco super 8 125,2013,Scooter,0,0,0,0,0
Yamaha x-max 125 abs,2013,Scooter,0,0,0,0,0
Bmw c 650 gt,2013,Scooter,1,0,0,0,0
Yamaha x-max 125 abs business,2013,Scooter,0,0,0,0,0
Yamaha bws naked 50,2013,Scooter,0,0,0,0,0
Sachs madass 125,2013,Scooter,0,0,0,1,0
Lml star 150 2s,2013,Scooter,0,0,0,1,0
Sachs madass 50,2013,Scooter,0,0,0,1,0
Aprilia srv 850 absatc,2013,Scooter,1,0,1,0,0
Sachs speedforce,2013,Scooter,0,0,0,0,0
Vespa gtv 300 ie,2013,Scooter,0,0,0,0,0
Kymco people one 125,2013,Scooter,0,0,0,0,0
Yamaha bws original 50,2013,Scooter,0,0,0,0,0
Sachs speedjet,2013,Scooter,0,0,0,0,0
Yamaha vity,2013,Scooter,0,0,0,0,0
Aprilia srv 850,2013,Scooter,1,0,1,0,0
Honda faze,2013,Scooter,0,0,0,0,0
Vespa gts 300 ie super,2013,Scooter,0,0,0,0,0
Sachs speedjet r,2013,Scooter,0,0,0,0,0
Vespa lxv 125 i.e.,2013,Scooter,0,0,0,0,0
Vespa lxv vie della moda,2013,Scooter,0,0,0,0,0
Sachs speedjet rs,2013,Scooter,0,0,0,0,0
Vespa gtv vie della moda,2013,Scooter,0,0,0,0,0
Yamaha bws 12 inch,2013,Scooter,0,0,0,0,0
Vento triton li,2013,Scooter,0,0,0,0,0
Honda gyro x,2013,Scooter,0,0,0,0,0
Sachs sx,2013,Scooter,0,0,0,0,0
Aprilia sr motard 125,2013,Scooter,0,0,0,0,0
Aprilia sportcity 250,2013,Scooter,0,0,0,0,0
Honda ps125i passion,2013,Scooter,0,0,0,0,0
Kymco like 50 lx,2013,Scooter,0,0,0,0,0
Honda rs 125,2013,Scooter,0,0,0,0,0
Honda s-wing 125,2013,Scooter,0,0,0,0,0
Honda scoopy,2013,Scooter,0,0,0,0,0
Kymco like 50,2013,Scooter,0,0,0,0,0
Yamaha cygnus x,2013,Scooter,0,0,0,0,0
Kymco like 200i lx,2013,Scooter,0,0,0,0,0
Honda sh300i,2013,Scooter,0,0,0,0,0
Cf Moto jetmax,2013,Scooter,0,0,0,0,0
Honda super cub 110,2013,Scooter,0,0,0,0,0
Honda super cub 50,2013,Scooter,0,0,0,0,0
Kymco like 200i,2013,Scooter,0,0,0,0,0
Aprilia scarabeo 500ie,2013,Scooter,0,0,0,0,0
Yamaha cygnus x sr,2013,Scooter,0,0,0,0,0
Kymco like 125i,2013,Scooter,0,0,0,0,0
Qlink hawk 50,2013,Scooter,0,0,0,0,0
Vespa gts 300 ie,2013,Scooter,0,0,0,0,0
Keeway silverblade 250,2013,Scooter,0,0,0,0,0
Bmw s 1000 rr,2013,Sport,1,1,1,1,0
Bimota db 9 brivido italia,2013,Sport,1,0,1,0,0
Zontes monster 125,2013,Sport,0,0,0,0,0
Ducati 1199 panigale s tricolore,2013,Sport,1,0,1,1,0
Zontes panther 125,2013,Sport,0,0,0,0,0
Zontes tiger 125,2013,Sport,0,0,0,0,0
Ducati 1199 panigale s,2013,Sport,1,0,1,1,0
Ducati 1199 panigale,2013,Sport,1,0,1,1,0
Ducati 1199 panigale r,2013,Sport,1,0,1,1,0
Keeway arsen 150,2013,Sport,0,0,0,0,0
Keeway arsen 125,2013,Sport,0,0,0,0,0
Bmw k 1300 s special model,2013,Sport,1,1,1,1,0
Bmw k 1300 s,2013,Sport,1,1,1,1,0
Kawasaki ninja 400r special edition,2013,Sport,0,0,0,0,0
Ktm 1190 rc8 r,2013,Sport,1,0,1,0,0
Bmw hp4,2013,Sport,1,1,1,1,0
Ktm 1190 rc8 r track,2013,Sport,1,0,1,1,0
Yamaha tzr50,2013,Sport,0,0,0,1,0
Johnny Pag falcon 320i,2013,Sport,0,0,0,0,0
Jawa-Cz 50 robby,2013,Sport,0,0,0,0,0
Jawa-Cz 350,2013,Sport,0,0,0,1,0
Jawa-Cz 250,2013,Sport,0,0,0,1,0
Jawa-Cz 125,2013,Sport,0,0,0,1,0
Keeway strike 150,2013,Sport,0,0,0,0,0
Keeway strike 125,2013,Sport,0,0,0,0,0
Mv Agusta f4 rr,2013,Sport,1,1,1,1,0
Megelli sport 250 se,2013,Sport,0,0,0,0,0
Megelli sport 250 r,2013,Sport,0,0,0,0,0
Hyosung gt250r,2013,Sport,0,0,0,0,0
Megelli sport 125 r,2013,Sport,0,0,0,0,0
Hyosung gt250,2013,Sport,0,0,0,0,0
Mv Agusta f4 r,2013,Sport,1,1,1,1,0
Hyosung gt125r,2013,Sport,0,0,0,0,0
Hyosung gt125,2013,Sport,0,0,0,0,0
Aprilia rsv4 r aprc,2013,Sport,1,1,1,1,0
Mv Agusta f4,2013,Sport,1,1,1,1,0
Aprilia rsv4 factory aprc,2013,Sport,1,1,1,1,0
Ccm spider rl-125,2013,Sport,0,0,0,0,0
Honda xl 125 varadero,2013,Sport,0,0,0,0,0
Fischer mrx race,2013,Sport,1,0,1,0,0
Keeway rk iii 200,2013,Sport,0,0,0,0,0
Yamaha fazer 8,2013,Sport,1,1,1,1,0
Keeway rk iii 150,2013,Sport,0,0,0,0,0
Keeway rk iii 125,2013,Sport,0,0,0,0,0
Bimota tesi 3d e,2013,Sport,1,0,1,0,0
Kinroad xt125-18,2013,Sport,0,0,0,0,0
Bimota db9 brivido s,2013,Sport,1,0,1,0,0
Bimota db9 brivido,2013,Sport,1,0,1,0,0
Bimota db8 sp,2013,Sport,1,0,1,0,0
Honda cbr1000rr,2013,Sport,1,1,1,1,0
Bimota db8 biposto,2013,Sport,1,0,1,0,0
Honda cbf125,2013,Sport,0,0,0,0,0
Kymco pulsar 125,2013,Sport,0,0,0,0,0
Honda cb500x,2013,Sport,0,0,0,0,0
Bennche rival 250 r,2013,Sport,0,0,0,0,0
Bimota db7 oronero,2013,Sport,1,0,1,0,0
Honda cb400 super four abs,2013,Sport,0,1,0,0,0
Honda cb400 super four,2013,Sport,0,1,0,0,0
Honda cb400 super bol dor abs,2013,Sport,0,1,0,0,0
Honda cb400 super bol dor,2013,Sport,0,1,0,0,0
Mv Agusta f3 675,2013,Sport,1,1,1,0,0
Honda cb110,2013,Sport,0,0,0,0,0
Ducati 848 evo dark,2013,Sport,1,0,1,1,0
Ducati 848 evo corse se,2013,Sport,1,0,1,1,0
Bimota db5 re,2013,Sport,1,0,1,0,0
Ducati 848 evo,2013,Sport,1,0,1,1,0
Hero passion x pro,2013,Sport,0,0,0,0,0
Bimota db5 e desiderio,2013,Sport,1,0,1,0,0
Bimota db11 vlx,2013,Sport,1,0,1,0,0
Hartford vr-200x,2013,Sport,0,0,0,1,0
Hartford vr-125z,2013,Sport,0,0,0,0,0
Hartford vr-125h,2013,Sport,0,0,0,1,0
Loncin lx150-70c comanche,2013,Sport,0,0,0,0,0
Loncin lx150-30 spitzer,2013,Sport,0,0,0,0,0
Bimota db11,2013,Sport,1,0,1,0,0
Bimota db10 rd,2013,Sport,1,0,1,1,0
Bimota db10 r,2013,Sport,1,0,1,1,0
Ducati multistrada 1200 s touring,2013,Sport touring,1,0,1,1,0
Honda vfr800,2013,Sport touring,1,1,1,0,0
Ducati diavel strada,2013,Sport touring,1,0,1,0,0
Bimota db12 b tourist,2013,Sport touring,1,0,1,1,0
Moto Guzzi norge gt 8v,2013,Sport touring,1,0,1,0,0
Kawasaki 1400gtr grand tourer,2013,Sport touring,1,1,1,1,0
Ktm 990 sm r,2013,Super motard,1,0,1,1,0
Rieju marathon 125 pro sm,2013,Super motard,0,0,0,1,0
Qlink xp 200,2013,Super motard,0,0,0,0,0
Ktm 990 sm t,2013,Super motard,1,0,1,1,0
Qlink mt 250,2013,Super motard,0,0,0,1,0
Keeway kxm 200,2013,Super motard,0,0,0,1,0
Aprilia sx 125,2013,Super motard,0,0,0,1,0
Ktm 690 smc r,2013,Super motard,1,0,0,1,0
Aprilia dorsoduro 750 factory,2013,Super motard,1,0,1,1,0
Honda transalp,2013,Super motard,1,0,0,1,0
Ducati hypermotard,2013,Super motard,1,0,1,1,0
Jawa-Cz 660,2013,Super motard,1,0,0,1,0
Aprilia dorsoduro 750,2013,Super motard,1,0,1,1,0
Buccimoto br1-f6 motard,2013,Super motard,0,0,0,0,0
Ccm sm125,2013,Super motard,0,0,0,1,0
Yamaha wr125 x,2013,Super motard,0,0,0,1,0
Kreidler supermoto 125 dd,2013,Super motard,0,0,0,1,0
Ducati multistrada 1200 s pikes peak,2013,Super motard,1,0,1,1,0
Ducati hypermotard sp,2013,Super motard,1,0,1,1,0
Kreidler supermoto 50 dd,2013,Super motard,0,0,0,1,0
Loncin jl200gy-2c ranger,2013,Super motard,0,0,0,1,0
Aprilia dorsoduro 750 factory abs,2013,Super motard,1,0,1,1,0
Ktm 990 adventure r,2013,Super motard,1,0,1,1,0
Honda xl1000v varadero,2013,Super motard,1,0,1,1,0
Sachs zz 125 supermoto,2013,Super motard,0,0,0,1,0
Husqvarna nuda 900r,2013,Super motard,1,0,1,1,0
Loncin jl250gy rover,2013,Super motard,0,0,0,1,0
Kawasaki d-tracker x,2013,Super motard,0,0,0,1,0
Aprilia dorsoduro 750 abs,2013,Super motard,1,0,1,1,0
Ccm r35,2013,Super motard,0,0,0,1,0
Ktm 990 adventure,2013,Super motard,1,0,1,1,0
Kawasaki d-tracker 125,2013,Super motard,0,0,0,0,0
Megelli supermoto 250 m,2013,Super motard,0,0,0,1,0
Bmw r 1200 rt,2013,Touring,1,1,1,1,0
Cf Moto cruz,2013,Touring,0,0,0,0,0
Ducati multistrada 1200 s granturismo,2013,Touring,1,0,1,1,0
Rewaco ct 2300 t,2013,Touring,1,1,1,0,0
Victory arlen ness vision,2013,Touring,1,0,1,0,0
Bmw k 1600 gtl,2013,Touring,1,1,1,0,0
Bmw k 1600 gt,2013,Touring,1,1,1,0,0
Honda cb1300 super touring,2013,Touring,1,1,1,0,0
Qlink tour 250,2013,Touring,0,0,0,0,0
Victory cross country tour,2013,Touring,1,0,1,0,0
Victory cory ness cross country tour,2013,Touring,1,0,1,0,0
Victory vision tour,2013,Touring,1,0,1,0,0
Clipic hit80g,2013,Trial,0,0,0,0,0
Clipic hit65g,2013,Trial,0,0,0,0,0
Bmw r 1200 r 90 years,2014,Allround,1,1,1,0,0
Honda ape 100 type d,2014,Allround,0,0,0,0,0
Honda ape 100,2014,Allround,0,0,0,0,0
Ktm 1190 adventure,2014,Allround,1,0,1,1,0
Bmw r 1200 r,2014,Allround,1,1,1,0,0
Ktm 1190 adventure r,2014,Allround,1,0,1,1,0
Ural sportsman azur,2014,Allround,1,1,0,0,0
Skyteam st125 bubbly,2014,Allround,0,0,0,0,0
Sommer 462,2014,Allround,0,1,0,0,0
Suzuki st250 e type,2014,Allround,0,0,0,0,0
Quadro aatw r,2014,Allround,0,0,0,0,0
Kawasaki zrx1200 daeg,2014,Allround,1,1,1,0,0
Honda tmx supremo,2014,Allround,0,0,0,0,0
Hartford hd200s,2014,Allround,0,0,0,0,0
Hartford hd-125s,2014,Allround,0,0,0,0,0
Hartford hd-125l,2014,Allround,0,0,0,0,0
Keeway owen ii 150,2014,Allround,0,0,0,0,0
Kawasaki zrx1200 daeg black limited,2014,Allround,1,1,1,0,0
Suzuki thunder 125,2014,Allround,0,0,0,0,0
Keeway city 100,2014,Allround,0,0,0,0,0
Aprilia mana 850 gt abs,2014,Allround,1,0,1,0,0
Ducati multistrada 1200,2014,Allround,1,0,1,1,0
Keeway owen 150,2014,Allround,0,0,0,0,0
Suzuki grass tracker,2014,Allround,0,0,0,0,0
Bmw r 1200 r classic,2014,Allround,1,1,1,0,0
Cectek gladiator t6,2014,ATV,0,0,0,1,0
Cectek kingcobra ixd t5,2014,ATV,0,0,0,1,0
Bennche gray wolf 500,2014,ATV,0,0,0,1,0
Hyosung te450s,2014,ATV,0,0,0,1,0
Polaris sportsman 800 efi,2014,ATV,1,0,0,1,0
Ural ranger tundra,2014,Classic,1,1,0,0,0
Kikker 5150 hardknock frisco bobber,2014,Classic,0,0,0,0,0
Norton commando 961 cafe racer,2014,Classic,1,0,1,0,0
Honda cb 1100,2014,Classic,1,1,1,0,0
Ural t,2014,Classic,1,1,0,0,0
Horex vr6 classic,2014,Classic,1,1,1,0,0
Ural cross,2014,Classic,1,1,0,0,0
Norton commando 961 sf,2014,Classic,1,0,1,0,0
Ural ranger frog,2014,Classic,1,1,0,0,0
Norton commando 961 sport,2014,Classic,1,0,1,0,0
Ural retro,2014,Classic,1,1,0,0,0
Buccimoto br1f6 cross,2014,Cross / motocross,0,0,0,0,0
Husqvarna fc350,2014,Cross / motocross,0,0,0,1,0
Sukida macross 250,2014,Cross / motocross,0,0,0,1,0
Ktm 350 sx-f,2014,Cross / motocross,0,0,0,1,0
Suzuki intruder m1800rb,2014,Custom / cruiser,1,0,1,0,0
Hyosung st7 deluxe,2014,Custom / cruiser,1,0,1,0,0
Suzuki intruder m1800rz,2014,Custom / cruiser,1,0,1,0,0
Honda vt400s,2014,Custom / cruiser,0,0,0,0,0
Keeway superlight 125,2014,Custom / cruiser,0,0,0,0,0
Keeway superlight 200,2014,Custom / cruiser,0,0,0,0,0
Ajs spt 350,2014,Custom / cruiser,0,0,0,0,0
Gogo Moto go 125-18,2014,Custom / cruiser,0,0,0,0,0
Ajs regal raptor eos 350,2014,Custom / cruiser,0,0,0,0,0
Gogo Moto go 250-18,2014,Custom / cruiser,0,0,0,0,0
Gogo Moto go 50,2014,Custom / cruiser,0,0,0,0,0
Suzuki boulevard 400,2014,Custom / cruiser,0,0,0,0,0
Ajs regal raptor eco custom 125,2014,Custom / cruiser,0,0,0,0,0
Suzuki intruder classic 400 cast wheel,2014,Custom / cruiser,0,0,0,0,0
Atk gv650,2014,Custom / cruiser,1,0,1,0,0
Jianshe js150-7f,2014,Custom / cruiser,0,0,0,0,0
Harley-Davidson sportster 883 roadster,2014,Custom / cruiser,1,0,0,0,0
Big Bear Choppers venom 2up v111 efi,2014,Custom / cruiser,1,0,1,0,0
Daelim daystar  250,2014,Custom / cruiser,0,0,0,0,0
Atk gv250,2014,Custom / cruiser,0,0,0,0,0
Keeway blackster 250i,2014,Custom / cruiser,0,0,0,0,0
Suzuki intruder classic 400,2014,Custom / cruiser,0,0,0,0,0
Keeway dorado 250,2014,Custom / cruiser,0,0,0,0,0
Lexmoto ranger 125,2014,Custom / cruiser,0,0,0,0,0
Keeway v-blade 250i,2014,Custom / cruiser,0,0,0,0,0
California Scooter military sarge,2014,Custom / cruiser,0,0,0,0,0
Hyosung gv250,2014,Custom / cruiser,0,0,0,0,0
Suzuki intruder m1800rbz b.o.s.s.,2014,Custom / cruiser,1,0,1,0,0
Yuki 400 darker,2014,Custom / cruiser,0,0,0,0,0
Hyosung gv650,2014,Custom / cruiser,1,0,1,0,0
Hyosung st7,2014,Custom / cruiser,1,0,1,0,0
Kawasaki 250tr,2014,Enduro / offroad,0,0,0,0,0
Bmw f 800 gs,2014,Enduro / offroad,1,0,1,1,0
Bmw g 650 gs sertao,2014,Enduro / offroad,1,0,0,1,0
Ktm 690 enduro r,2014,Enduro / offroad,1,0,0,1,0
Sachs zx 125 enduro,2014,Enduro / offroad,0,0,0,1,0
Honda xr 200,2014,Enduro / offroad,0,0,0,1,0
Bmw g 650 gs,2014,Enduro / offroad,1,0,0,0,0
Bmw f 800 gs adventure,2014,Enduro / offroad,1,0,1,1,0
Rokon scout,2014,Enduro / offroad,0,0,0,0,0
Derbi terra adventure 125,2014,Enduro / offroad,0,0,0,1,0
Keeway tx 200 en,2014,Enduro / offroad,0,0,0,1,0
Bmw f 800 gs adventure travel,2014,Enduro / offroad,1,0,1,1,0
Hartford vr200h,2014,Enduro / offroad,0,0,0,1,0
Keeway tx 125 en,2014,Enduro / offroad,0,0,0,1,0
Yamaha xt660r,2014,Enduro / offroad,1,0,0,1,0
Husqvarna fe350,2014,Enduro / offroad,0,0,0,1,0
Bmw f 700 gs,2014,Enduro / offroad,1,0,0,1,0
Husqvarna tr650 terra,2014,Enduro / offroad,1,0,0,1,0
Bmw r 1200 gs adventure xe,2014,Enduro / offroad,1,1,1,1,0
Skyteam st125 skymax,2014,"Minibike, cross",0,0,0,0,0
Horex vr6 roadster,2014,Naked bike,1,1,1,0,0
Benelli tnt 899,2014,Naked bike,1,1,1,1,0
Benelli tnt 1130 r,2014,Naked bike,1,1,1,1,0
Ducati streetfighter 848,2014,Naked bike,1,0,1,1,0
Ducati superleggera 1199,2014,Naked bike,1,0,1,1,0
Benelli bn 600 r,2014,Naked bike,1,1,1,0,0
Ducati monster 796 corse stripe,2014,Naked bike,1,0,1,0,0
Ducati monster 796,2014,Naked bike,1,0,1,0,0
Ducati monster 795,2014,Naked bike,1,0,1,0,0
Ducati monster 696,2014,Naked bike,1,0,1,0,0
Ecosse the heretic,2014,Naked bike,1,0,1,0,0
Ecosse titanium,2014,Naked bike,1,0,1,0,0
Ducati monster 1200 s,2014,Naked bike,1,0,1,0,0
Ducati monster 1200,2014,Naked bike,1,0,1,0,0
Suzuki gsr 400 abs,2014,Naked bike,0,1,0,0,0
Mv Agusta brutale 1090,2014,Naked bike,1,1,1,1,0
Mv Agusta brutale 1090 r,2014,Naked bike,1,1,1,1,0
Ducati diavel dark,2014,Naked bike,1,0,1,0,0
Mv Agusta brutale 1090 rr,2014,Naked bike,1,1,1,1,0
Ducati diavel carbon,2014,Naked bike,1,0,1,0,0
Mv Agusta brutale 675,2014,Naked bike,1,1,1,0,0
Ducati diavel,2014,Naked bike,1,0,1,0,0
Mv Agusta brutale 800,2014,Naked bike,1,1,1,0,0
Mv Agusta brutale 800 dragster,2014,Naked bike,1,1,1,0,0
Benelli bn 600 gt,2014,Naked bike,1,1,1,0,0
Mv Agusta brutale corsa,2014,Naked bike,1,1,1,1,0
Benelli bn 302,2014,Naked bike,0,0,0,0,0
Travertson v-rex,2014,Naked bike,1,0,1,0,0
Bimota db6 delirio e,2014,Naked bike,1,0,1,0,0
Bimota db6 delirio re,2014,Naked bike,1,0,1,0,0
Honda cb400f,2014,Naked bike,0,1,0,0,0
Honda cb500f,2014,Naked bike,0,0,0,0,0
Honda cb500f abs,2014,Naked bike,0,0,0,0,0
