id,brand,model,year,category,rating,displacement_ccm,power_hp,engine_cylinder,fuel_capacity_lts,dry_weight_kg,seat_height_mm
33278,ural,solo,2011,Classic,Unknown,745.0,38.9,Two cylinder boxer,19.0,215.0,810.0
33281,ural,solo st,2012,Classic,Unknown,745.0,40.0,Two cylinder boxer,19.0,215.0,770.0
33282,ural,solo st,2013,Classic,Unknown,745.0,40.0,Two cylinder boxer,19.0,215.0,770.0
33284,ural,sportsman,2011,Classic,Unknown,745.0,38.9,Two cylinder boxer,19.0,350.0,790.0
33285,ural,sportsman,2016,Classic,Unknown,749.0,41.0,Two cylinder boxer,19.0,332.0,785.0
33286,ural,sportsman,2022,Classic,Unknown,745.0,40.2,Two cylinder boxer,19.0,Unknown,790.0
33289,ural,sportsman azur,2014,Allround,Unknown,745.0,38.9,Two cylinder boxer,19.0,350.0,790.0
33290,ural,sportsman se,2019,Classic,Unknown,749.0,41.0,Two cylinder boxer,19.0,331.1,813.0
33291,ural,t,2012,Classic,3.2,749.0,40.0,Two cylinder boxer,19.0,320.0,813.0
33292,ural,t,2013,Classic,Unknown,749.0,40.0,Two cylinder boxer,19.0,320.0,813.0
33293,ural,t,2014,Classic,Unknown,745.0,38.9,Two cylinder boxer,19.0,300.0,750.0
33294,ural,t,2022,Classic,Unknown,745.0,40.2,Two cylinder boxer,19.0,Unknown,790.0
33295,ural,t twd,2016,Classic,Unknown,745.0,42.0,Two cylinder boxer,19.0,363.0,790.0
33296,ural,t twd,2022,Classic,Unknown,745.0,40.2,Two cylinder boxer,19.0,Unknown,790.0
33297,ural,taiga,2010,Classic,Unknown,745.0,38.9,Two cylinder boxer,19.0,337.0,785.0
33304,ural,tourist,2013,Classic,2.9,749.0,40.0,Two cylinder boxer,19.0,320.0,813.0
33305,ural,tourist,2016,Classic,Unknown,749.0,40.0,Two cylinder boxer,19.0,320.0,790.0
33309,ural,tourist 750,2010,Classic,Unknown,745.0,38.9,Two cylinder boxer,19.0,335.0,813.0
33310,ural,tourist 750,2011,Classic,Unknown,745.0,38.9,Two cylinder boxer,19.0,335.0,813.0
33311,ural,tourist 750,2012,Classic,Unknown,749.0,40.0,Two cylinder boxer,19.0,320.0,813.0
33321,ural,wolf 750,2010,Custom / cruiser,3.1,745.0,38.9,Two cylinder boxer,21.0,250.0,670.0
33322,ural,wolf 750 solo,2011,Custom / cruiser,3.4,745.0,38.9,Two cylinder boxer,21.0,250.0,670.0
33323,ural,wolf 750 solo,2012,Custom / cruiser,3.3,745.0,40.0,Two cylinder boxer,21.0,250.0,670.0
33326,vahrenkamp,diesel 462,2010,Allround,Unknown,462.0,11.0,Diesel,Unknown,180.0,Unknown
33327,vahrenkamp,diesel 462,2011,Allround,Unknown,462.0,11.0,Diesel,Unknown,180.0,Unknown
33328,valenti,rme 50,2013,Enduro / offroad,3.4,49.9,Unknown,Single cylinder,6.9,83.0,Unknown
33329,valenti,rme 50,2016,Enduro / offroad,Unknown,49.9,Unknown,Single cylinder,6.9,83.0,920.0
33330,valenti,rme factory 50,2016,Enduro / offroad,Unknown,49.9,Unknown,Single cylinder,6.9,82.0,920.0
33331,valenti,rme race 50,2013,Enduro / offroad,Unknown,49.9,Unknown,Single cylinder,6.9,83.0,920.0
33332,valenti,rme race 50,2016,Enduro / offroad,Unknown,49.9,Unknown,Single cylinder,6.9,82.0,920.0
33333,valenti,rme race 50,2019,Enduro / offroad,Unknown,49.9,Unknown,Single cylinder,6.9,82.0,920.0
33334,valenti,scrambler 50,2016,Allround,Unknown,49.9,Unknown,Single cylinder,6.9,83.0,920.0
33335,valenti,sm 50,2013,Super motard,2.8,49.9,Unknown,Single cylinder,6.9,85.0,880.0
33336,valenti,sm 50,2016,Super motard,Unknown,49.0,Unknown,Single cylinder,6.9,85.0,880.0
33340,vastro,125 rio,2021,Scooter,Unknown,124.0,Unknown,Single cylinder,6.6,109.0,Unknown
33341,vastro,50 e street,2022,Scooter,Unknown,Unknown,2.7,Electric,Unknown,80.0,Unknown
33342,vastro,50 fifty,2022,Scooter,Unknown,49.6,2.8,Single cylinder,4.7,112.0,Unknown
33343,vastro,50 gecko,2021,Scooter,Unknown,49.2,3.0,Single cylinder,5.0,112.0,Unknown
33344,vastro,50 r-one,2021,Scooter,Unknown,49.6,3.0,Single cylinder,5.4,112.0,Unknown
33345,vastro,50 rio,2021,Scooter,Unknown,50.0,Unknown,Single cylinder,6.6,90.0,Unknown
33346,vastro,50 steed-e,2021,Scooter,Unknown,Unknown,4.0,Electric,Unknown,95.0,Unknown
