id,Brand,Model,Year,Category,Engine Size (cc),Power (hp),Engine Cylinder,Fuel Capacity (Lts),Weight (kg),Seat Height (mm),Power-to-Weight (hp/kg)
41,Adiva,ad tre,2014,Scooter,205,20.6,Single cylinder,13.0,118.0,740.0,0.17
42,Adiva,ad tre 55,2014,Scooter,205,20.6,Single cylinder,13.0,215.0,740.0,0.1
46,Adiva,ad3 300,2019,Scooter,299,29.4,Single cylinder,11.0,202.0,700.0,0.15
47,Adiva,ad3 300lt,2020,Scooter,299,29.4,Single cylinder,12.2,202.0,700.0,0.15
48,Adiva,ad3 400,2018,Scooter,399,36.7,Single cylinder,11.0,257.0,770.0,0.14
49,Adiva,ad3 400,2019,Scooter,399,36.7,Single cylinder,11.0,257.0,770.0,0.14
52,Adiva,ar3 200,2018,Scooter,190,18.8,Single cylinder,14.0,231.0,700.0,0.08
59,Adiva,n125,2010,Scooter,124,10.3,Single cylinder,6.0,108.0,800.0,0.1
60,Adiva,n125,2011,Scooter,124,10.3,Single cylinder,6.0,108.0,800.0,0.1
61,Adiva,r125,2010,Scooter,124,10.3,Single cylinder,6.0,109.0,800.0,0.09
62,Adiva,r125,2011,Scooter,124,10.3,Single cylinder,6.0,109.0,800.0,0.09
170,Aeon,3d-350,2018,Scooter,346,25.0,Single cylinder,13.5,212.5,790.0,0.12
171,Aeon,3d-350,2019,Scooter,346,27.0,Single cylinder,13.5,212.5,790.0,0.13
172,Aeon,3d-350 r,2019,Scooter,346,30.0,Single cylinder,13.5,224.0,790.0,0.13
182,Aeon,cobra  rs 180,2010,Atv,169,8.7,Single cylinder,8.0,165.0,790.0,0.05
186,Aeon,cobra 220,2019,Atv,196,12.1,Single cylinder,7.3,193.0,790.0,0.06
189,Aeon,cobra 320,2010,Atv,196,16.1,Single cylinder,7.3,77.0,550.0,0.21
190,Aeon,cobra 400,2012,Atv,346,20.1,Single cylinder,9.3,207.0,790.0,0.1
193,Aeon,cobra 400 supermoto,2022,Atv,346,20.1,Single cylinder,9.3,207.0,780.0,0.1
195,Aeon,cobra 50,2010,Atv,49,3.6,Single cylinder,5.0,130.0,800.0,0.03
196,Aeon,cobra 50,2012,Atv,49,3.0,Single cylinder,5.0,129.0,800.0,0.02
198,Aeon,cobra supermoto,2018,Atv,346,20.1,Single cylinder,9.3,207.0,780.0,0.1
199,Aeon,cobra supermoto,2019,Atv,346,20.1,Single cylinder,9.3,207.0,780.0,0.1
201,Aeon,crossland 300,2010,Atv,272,18.1,Single cylinder,14.0,233.0,850.0,0.08
202,Aeon,crossland 600 efi,2018,Atv,565,20.1,Single cylinder,23.0,411.0,920.0,0.05
203,Aeon,crossland rx 400,2012,Atv,346,20.1,Single cylinder,14.0,230.0,850.0,0.09
204,Aeon,crossland x4 400,2012,Atv,346,20.1,Single cylinder,14.0,236.0,850.0,0.09
205,Aeon,elite 125,2012,Scooter,125,10.5,Single cylinder,13.5,165.0,800.0,0.06
207,Aeon,elite 250i,2019,Scooter,249,22.1,Single cylinder,13.5,167.0,750.0,0.13
208,Aeon,elite 350i,2012,Scooter,313,22.8,Single cylinder,13.5,172.0,800.0,0.13
209,Aeon,elite 400i,2014,Scooter,346,26.6,Single cylinder,13.5,172.0,800.0,0.15
210,Aeon,elite 400i abs,2018,Scooter,346,32.2,Single cylinder,13.5,180.0,800.0,0.18
211,Aeon,elite 400i abs,2019,Scooter,346,27.0,Single cylinder,13.5,180.0,800.0,0.15
212,Aeon,es 150,2019,Scooter,150,14.0,Single cylinder,7.0,124.0,774.0,0.11
214,Aeon,minikolt 50,2010,Atv,49,3.2,Single cylinder,3.4,77.0,550.0,0.04
215,Aeon,minikolt 50,2012,Atv,49,3.2,Single cylinder,3.4,77.0,550.0,0.04
216,Aeon,my 125i,2012,Allround,125,10.7,Single cylinder,6.0,108.0,735.0,0.1
217,Aeon,my 150,2019,Allround,149,14.0,Single cylinder,6.0,118.0,735.0,0.12
218,Aeon,overland 180,2010,Atv,169,8.7,Single cylinder,8.0,178.0,770.0,0.05
219,Aeon,overland 200 t3,2018,Atv,176,13.1,Single cylinder,9.0,195.0,800.0,0.07
220,Aeon,overland 600,2012,Atv,565,20.1,Single cylinder,24.0,342.0,820.0,0.06
221,Aeon,ozs 150,2019,Scooter,150,14.0,Single cylinder,7.0,110.0,750.0,0.13
223,Aeon,quadro 350d,2012,Scooter,313,22.8,Single cylinder,13.0,200.0,780.0,0.11
224,Aeon,revo 100,2010,Atv,96,6.6,Single cylinder,5.0,119.0,710.0,0.06
225,Aeon,revo 50,2010,Atv,49,3.6,Single cylinder,5.0,115.0,710.0,0.03
226,Aeon,urban 125,2012,Scooter,125,14.1,Single cylinder,13.5,168.0,815.0,0.08
227,Aeon,urban 350i,2012,Scooter,313,22.8,Single cylinder,13.5,177.0,815.0,0.13
228,Aeon,urban 350i,2014,Scooter,313,22.8,Single cylinder,13.5,177.0,815.0,0.13
229,Aeon,xboy 10,2012,"Minibike, Cross",49,3.4,Single cylinder,2.0,50.0,600.0,0.07
230,Aeon,xboy 12,2012,"Minibike, Cross",49,9.4,Single cylinder,2.0,55.0,650.0,0.17
333,Ajp,pr3 125 supermoto,2015,Super Motard,124,12.6,Single cylinder,7.0,102.0,840.0,0.12
337,Ajp,pr3 240 supermoto,2015,Super Motard,233,20.0,Single cylinder,7.0,106.0,840.0,0.19
351,Ajp,pr3 supermoto 125,2018,Super Motard,124,12.6,Single cylinder,7.0,104.0,810.0,0.12
352,Ajp,pr3 supermoto 125,2020,Super Motard,125,12.6,Single cylinder,7.0,104.0,840.0,0.12
353,Ajp,pr3 supermoto 240,2018,Super Motard,233,20.0,Single cylinder,7.0,108.0,810.0,0.19
354,Ajp,pr3 supermoto 240,2020,Super Motard,233,20.0,Single cylinder,7.0,108.0,840.0,0.19
355,Ajp,pr3 supermoto pro 125,2018,Super Motard,124,12.6,Single cylinder,7.0,104.0,840.0,0.12
356,Ajp,pr3 supermoto pro 125,2020,Super Motard,124,12.6,Single cylinder,7.0,104.0,840.0,0.12
357,Ajp,pr3 supermoto pro 240,2018,Super Motard,233,20.0,Single cylinder,7.0,108.0,810.0,0.19
358,Ajp,pr3 supermoto pro 240,2020,Super Motard,233,20.0,Single cylinder,7.0,108.0,840.0,0.19
362,Ajp,pr4 125 enduro,2010,Enduro / Offroad,124,12.5,Single cylinder,7.5,105.0,910.0,0.12
363,Ajp,pr4 125 enduro,2015,Enduro / Offroad,124,12.6,Single cylinder,7.0,105.0,920.0,0.12
366,Ajp,pr4 125 sm,2010,Super Motard,124,12.6,Single cylinder,7.5,104.0,910.0,0.12
377,Ajp,pr4 200 sm,2010,Super Motard,198,18.0,Single cylinder,7.5,106.0,910.0,0.17
381,Ajp,pr4 240 supermoto,2015,Super Motard,233,20.0,Single cylinder,7.0,115.0,870.0,0.17
392,Ajp,pr4 supermoto pro 240,2018,Super Motard,233,20.0,Single cylinder,7.0,115.0,870.0,0.17
393,Ajp,pr4 supermoto pro 240,2020,Super Motard,233,20.0,Single cylinder,7.0,115.0,870.0,0.17
407,Ajp,pr7,2015,Prototype / Concept Model,660,48.0,Single cylinder,17.0,155.0,920.0,0.31
409,Ajp,pr7 adventure 650,2018,Enduro / Offroad,660,48.0,Single cylinder,17.0,155.0,920.0,0.31
410,Ajp,pr7 adventure 650,2019,Enduro / Offroad,660,48.0,Single cylinder,17.0,155.0,920.0,0.31
411,Ajp,pr7 adventure 650,2020,Enduro / Offroad,600,48.0,Single cylinder,17.0,155.0,920.0,0.31
415,Ajp,spr 510r,2021,Enduro / Offroad,501,38.0,Single cylinder,9.5,119.0,960.0,0.32
417,Ajs,125 eco commuter,2011,Allround,124,10.1,Single cylinder,10.0,114.0,760.0,0.09
421,Ajs,a9 flight 125,2015,Scooter,124,7.4,Single cylinder,4.7,107.0,820.0,0.07
422,Ajs,bobber 125,2011,Custom / Cruiser,125,11.0,Twin,8.0,161.0,640.0,0.07
423,Ajs,bobber 125,2015,Custom / Cruiser,125,11.0,Twin,8.0,161.0,640.0,0.07
424,Ajs,bobber 125,2016,Custom / Cruiser,125,11.0,Twin,8.0,161.0,640.0,0.07
425,Ajs,cadwell 125,2018,Sport,124,9.9,Single cylinder,11.2,113.0,740.0,0.09
426,Ajs,cadwell 125,2020,Sport,124,9.9,Single cylinder,11.2,113.0,740.0,0.09
427,Ajs,cadwell 125,2022,Sport,124,9.9,Single cylinder,11.2,113.0,740.0,0.09
428,Ajs,cadwell clubman 125,2018,Classic,124,9.9,Single cylinder,11.2,113.0,740.0,0.09
429,Ajs,cadwell clubman 125,2020,Allround,124,9.9,Single cylinder,11.2,113.0,740.0,0.09
431,Ajs,crazy naked 50,2011,Scooter,40,3.5,Single cylinder,5.0,90.0,775.0,0.04
433,Ajs,daytona 125,2011,Custom / Cruiser,125,11.0,Twin,13.5,180.0,640.0,0.06
434,Ajs,daytona 125,2015,Custom / Cruiser,125,11.0,Twin,13.5,180.0,640.0,0.06
435,Ajs,daytona 125,2016,Custom / Cruiser,125,11.0,Twin,13.5,180.0,640.0,0.06
436,Ajs,dd 125e mk3,2015,Custom / Cruiser,125,11.0,Twin,14.0,145.0,700.0,0.08
437,Ajs,dd 125e-8,2016,Custom / Cruiser,125,11.0,Twin,14.0,160.0,700.0,0.07
438,Ajs,dd125e mk2,2011,Custom / Cruiser,125,11.0,Twin,14.0,145.0,700.0,0.08
440,Ajs,digita 50,2014,Scooter,49,2.0,Single cylinder,5.5,78.0,735.0,0.03
441,Ajs,digita 50,2015,Scooter,49,2.0,Single cylinder,5.5,78.0,735.0,0.03
442,Ajs,digita 50,2020,Scooter,49,2.0,Single cylinder,5.5,78.0,740.0,0.03
445,Ajs,eco-2 125,2015,Allround,124,10.1,Single cylinder,10.0,114.0,760.0,0.09
446,Ajs,eco-3,2016,Allround,124,10.1,Single cylinder,10.0,110.0,760.0,0.09
447,Ajs,eos 125,2016,Custom / Cruiser,125,10.7,Twin,13.5,180.0,640.0,0.06
448,Ajs,eos 125 mk2,2011,Custom / Cruiser,125,11.0,Twin,14.0,180.0,640.0,0.06
449,Ajs,eos 125 mk2,2015,Custom / Cruiser,125,11.0,Twin,14.0,180.0,640.0,0.06
450,Ajs,eos 350,2015,Custom / Cruiser,320,23.0,Twin,14.0,191.0,640.0,0.12
451,Ajs,exactly 125,2010,Scooter,124,6.2,Single cylinder,4.7,89.0,775.0,0.07
452,Ajs,exactly 125,2011,Scooter,124,6.2,Single cylinder,4.7,89.0,775.0,0.07
454,Ajs,exactly 50,2010,Scooter,40,2.5,Single cylinder,4.7,87.0,775.0,0.03
455,Ajs,exactly 50,2011,Scooter,40,2.5,Single cylinder,4.7,87.0,775.0,0.03
456,Ajs,firefox 50,2012,Scooter,49,3.0,Single cylinder,4.7,85.0,825.0,0.04
457,Ajs,firefox 50,2015,Scooter,49,3.0,Single cylinder,4.7,85.0,735.0,0.04
466,Ajs,highway star 125,2020,Allround,124,11.3,Single cylinder,19.0,164.0,710.0,0.07
467,Ajs,insetto 125,2018,Scooter,125,8.6,Single cylinder,7.2,115.0,789.0,0.07
468,Ajs,insetto 125,2020,Scooter,125,8.6,Single cylinder,7.2,115.0,789.0,0.07
469,Ajs,insetto 125,2022,Scooter,125,8.6,Single cylinder,7.2,115.0,789.0,0.07
470,Ajs,isaba 125,2020,Allround,124,10.7,Single cylinder,13.0,136.0,760.0,0.08
471,Ajs,jsm 50,2016,Super Motard,49,4.7,Single cylinder,8.5,105.0,820.0,0.04
472,Ajs,jsm 50 motard,2012,Super Motard,49,4.7,Single cylinder,8.5,105.0,820.0,0.04
473,Ajs,jsm motard,2015,Super Motard,49,4.7,Single cylinder,8.5,105.0,820.0,0.04
474,Ajs,jsm motard 125,2010,Super Motard,124,11.0,Single cylinder,8.5,115.0,760.0,0.1
475,Ajs,jsm motard 125,2011,Super Motard,124,10.1,Single cylinder,8.5,115.0,760.0,0.09
476,Ajs,jsm trail 125,2010,Trial,124,11.0,Single cylinder,8.5,115.0,760.0,0.1
477,Ajs,jsm trail 125,2011,Trial,124,10.1,Single cylinder,8.5,115.0,760.0,0.09
545,Ajs,modena 125,2014,Scooter,125,7.1,Single cylinder,4.5,95.0,735.0,0.07
546,Ajs,modena 125,2015,Scooter,124,7.1,Single cylinder,6.7,95.0,735.0,0.07
547,Ajs,modena 125,2020,Scooter,125,7.1,Single cylinder,4.6,95.0,735.0,0.07
548,Ajs,modena 125,2021,Scooter,125,7.1,Single cylinder,4.6,95.0,735.0,0.07
549,Ajs,modena 50,2014,Scooter,49,3.0,Single cylinder,4.5,86.0,735.0,0.03
550,Ajs,modena 50,2015,Scooter,49,3.0,Single cylinder,4.5,86.0,735.0,0.03
551,Ajs,nac12 125,2010,Sport,124,11.4,Twin,18.0,153.0,770.0,0.07
552,Ajs,nac12 125,2011,Sport,124,11.4,Twin,18.0,153.0,770.0,0.07
553,Ajs,nac12 125 mk2,2014,Sport,124,11.4,Twin,18.0,153.0,770.0,0.07
554,Ajs,nac12 125 mk2,2015,Sport,124,11.4,Twin,18.0,153.0,770.0,0.07
555,Ajs,r7,2015,Sport,124,10.6,Single cylinder,18.5,127.0,810.0,0.08
556,Ajs,r7,2016,Sport,124,10.6,Single cylinder,18.5,127.0,810.0,0.08
560,Ajs,regal raptor eco custom 125,2014,Custom / Cruiser,124,10.1,Single cylinder,14.0,136.0,740.0,0.07
561,Ajs,regal raptor eos 350,2014,Custom / Cruiser,320,23.0,Twin,8.0,180.0,640.0,0.13
563,Ajs,regal-raptor daytona 125,2010,Custom / Cruiser,125,11.0,Twin,13.5,180.0,640.0,0.06
564,Ajs,regal-raptor dd125 mk2,2010,Custom / Cruiser,125,11.0,Twin,14.0,145.0,700.0,0.08
568,Ajs,regal-raptor eos-125 mk2,2010,Allround,125,11.0,Twin,14.0,180.0,640.0,0.06
569,Ajs,sorvio 125,2015,Scooter,125,7.1,Single cylinder,6.0,98.0,735.0,0.07
570,Ajs,spt 350,2014,Custom / Cruiser,320,23.0,Twin,28.0,156.0,810.0,0.15
571,Ajs,stellar 350,2012,Custom / Cruiser,320,23.0,Twin,8.0,170.0,710.0,0.14
573,Ajs,tempest roadster 125,2018,Classic,124,9.9,Single cylinder,16.0,124.0,780.0,0.08
574,Ajs,tempest roadster 125,2020,Allround,124,9.5,Single cylinder,16.0,124.0,780.0,0.08
575,Ajs,tempest roadster 125,2022,Allround,124,9.5,Single cylinder,16.0,126.0,780.0,0.08
576,Ajs,tempest scrambler 125,2018,Allround,124,9.9,Single cylinder,16.0,124.0,780.0,0.08
577,Ajs,tempest scrambler 125,2020,Allround,124,9.9,Single cylinder,16.0,124.0,780.0,0.08
578,Ajs,tempest scrambler 125,2022,Allround,124,9.9,Single cylinder,16.0,124.0,780.0,0.08
579,Ajs,tn 12,2015,Naked Bike,124,10.2,Single cylinder,18.0,153.0,820.0,0.07
580,Ajs,tn 12,2016,Naked Bike,124,10.2,Single cylinder,18.0,153.0,820.0,0.07
581,Ajs,tn25 250,2016,Naked Bike,223,16.1,Single cylinder,12.5,134.0,820.0,0.12
623,American Ironhorse,slammer base,2010,Custom / Cruiser,1917,110.0,V2,13.24,320.0,635.0,0.34
628,American Ironhorse,texas chopper base,2010,Custom / Cruiser,1819,110.0,V2,13.0,317.0,643.0,0.35
698,Aprilia,dorsoduro 1200,2015,Sport Touring,1197,130.0,V2,15.0,212.0,870.0,0.61
705,Aprilia,dorsoduro 750,2010,Super Motard,750,90.3,V2,12.0,186.0,870.0,0.49
706,Aprilia,dorsoduro 750,2011,Super Motard,750,90.3,V2,12.0,186.0,870.0,0.49
707,Aprilia,dorsoduro 750,2012,Super Motard,750,90.3,V2,12.0,186.0,870.0,0.49
708,Aprilia,dorsoduro 750,2013,Super Motard,750,90.3,V2,12.0,186.0,870.0,0.49
710,Aprilia,dorsoduro 750 abs,2010,Super Motard,750,90.3,V2,12.0,191.0,870.0,0.47
711,Aprilia,dorsoduro 750 abs,2011,Super Motard,750,90.3,V2,12.0,190.0,870.0,0.48
712,Aprilia,dorsoduro 750 abs,2012,Super Motard,750,90.3,V2,12.0,190.0,870.0,0.48
713,Aprilia,dorsoduro 750 abs,2013,Super Motard,750,90.3,V2,12.0,190.0,870.0,0.48
714,Aprilia,dorsoduro 750 abs,2014,Super Motard,750,90.3,V2,12.0,186.0,870.0,0.49
715,Aprilia,dorsoduro 750 abs,2015,Super Motard,750,92.0,V2,12.0,186.0,870.0,0.49
716,Aprilia,dorsoduro 750 abs,2016,Super Motard,750,92.0,V2,12.0,186.0,870.0,0.49
717,Aprilia,dorsoduro 750 abs,2017,Super Motard,750,92.0,V2,12.0,186.0,870.0,0.49
718,Aprilia,dorsoduro 750 factory,2010,Super Motard,750,90.3,V2,12.0,185.0,870.0,0.49
719,Aprilia,dorsoduro 750 factory,2011,Super Motard,750,90.3,V2,12.0,185.0,870.0,0.49
720,Aprilia,dorsoduro 750 factory,2012,Super Motard,750,90.3,V2,12.0,185.0,870.0,0.49
721,Aprilia,dorsoduro 750 factory,2013,Super Motard,750,90.3,V2,12.0,185.0,870.0,0.49
722,Aprilia,dorsoduro 750 factory abs,2012,Super Motard,750,90.3,V2,12.0,185.0,870.0,0.49
723,Aprilia,dorsoduro 750 factory abs,2013,Super Motard,750,90.3,V2,12.0,185.0,870.0,0.49
724,Aprilia,dorsoduro 900,2017,Super Motard,900,95.2,V2,12.0,186.0,870.0,0.51
725,Aprilia,dorsoduro 900,2018,Super Motard,900,95.2,V2,12.0,186.0,870.0,0.51
726,Aprilia,dorsoduro 900,2019,Super Motard,896,95.2,V2,12.0,186.0,870.0,0.51
727,Aprilia,dorsoduro 900,2020,Super Motard,896,95.2,V2,12.0,186.0,870.0,0.51
728,Aprilia,dorsoduro 900,2021,Super Motard,896,95.2,V2,12.0,195.0,870.0,0.49
729,Aprilia,dorsoduro 900,2022,Super Motard,896,95.2,V2,12.0,195.0,870.0,0.49
763,Aprilia,mana 850,2010,Naked Bike,839,75.1,V2,16.0,185.0,800.0,0.41
764,Aprilia,mana 850,2011,Naked Bike,839,75.1,V2,16.0,185.0,800.0,0.41
767,Aprilia,mana 850 abs,2011,Naked Bike,839,75.1,V2,16.0,189.0,800.0,0.4
768,Aprilia,mana 850 abs,2012,Naked Bike,839,75.1,V2,16.0,189.0,800.0,0.4
770,Aprilia,mana 850 gt,2016,Allround,839,76.1,V2,16.0,189.0,800.0,0.4
771,Aprilia,mana 850 gt abs,2010,Naked Bike,839,75.1,V2,16.0,185.0,800.0,0.41
772,Aprilia,mana 850 gt abs,2012,Allround,839,75.1,V2,16.0,189.0,800.0,0.4
773,Aprilia,mana 850 gt abs,2013,Allround,839,75.1,V2,16.0,189.0,800.0,0.4
774,Aprilia,mana 850 gt abs,2014,Allround,839,75.1,V2,16.0,189.0,800.0,0.4
775,Aprilia,mana 850 gt abs,2015,Allround,839,75.1,V2,16.0,189.0,800.0,0.4
781,Aprilia,mojito 125,2016,Scooter,124,9.8,Single cylinder,8.0,115.0,775.0,0.09
868,Aprilia,rs 125 gp replica,2021,Sport,124,15.0,Single cylinder,14.5,129.0,820.0,0.12
904,Aprilia,rs 660,2021,Sport,659,100.0,Twin,15.0,169.0,820.0,0.59
905,Aprilia,rs 660,2022,Sport,659,100.0,Twin,15.0,169.0,820.0,0.59
906,Aprilia,rs 660 35kw,2021,Sport,659,46.9,Twin,15.0,169.0,820.0,0.28
907,Aprilia,rs 660 35kw,2022,Sport,659,46.9,Twin,15.0,169.0,820.0,0.28
908,Aprilia,rs 660 limited,2022,Sport,659,100.0,Twin,15.0,169.0,820.0,0.59
966,Aprilia,rsv4,2021,Sport,1099,217.0,V4,18.5,177.0,840.0,1.23
967,Aprilia,rsv4,2022,Sport,1099,217.0,V4,18.5,179.0,845.0,1.21
968,Aprilia,rsv4 1100 factory,2019,Naked Bike,1078,217.0,V4,18.5,177.0,851.0,1.23
969,Aprilia,rsv4 1100 factory,2020,Sport,1078,217.0,V4,18.5,177.0,851.0,1.23
970,Aprilia,rsv4 1100 factory,2021,Sport,1099,217.0,V4,18.5,177.0,840.0,1.23
972,Aprilia,rsv4 factory,2010,Sport,1000,177.0,V4,17.0,179.0,845.0,0.99
973,Aprilia,rsv4 factory,2011,Sport,1000,177.0,V4,17.0,179.0,845.0,0.99
974,Aprilia,rsv4 factory,2012,Sport,1000,180.0,V4,17.0,179.0,845.0,1.01
975,Aprilia,rsv4 factory,2022,Sport,1099,217.0,V4,18.5,177.0,840.0,1.23
976,Aprilia,rsv4 factory abs,2015,Sport,1000,184.0,V4,17.0,181.0,840.0,1.02
977,Aprilia,rsv4 factory aprc,2012,Sport,1000,180.0,V4,17.0,179.0,845.0,1.01
978,Aprilia,rsv4 factory aprc,2013,Sport,1000,180.0,V4,17.0,179.0,845.0,1.01
979,Aprilia,rsv4 factory aprc abs,2014,Sport,1000,184.0,V4,17.0,181.0,845.0,1.02
980,Aprilia,rsv4 factory aprc se,2011,Sport,1000,177.0,V4,17.0,179.0,845.0,0.99
981,Aprilia,rsv4 factory aprc se,2012,Sport,1000,180.0,V4,17.0,179.0,845.0,1.01
984,Aprilia,rsv4 r,2010,Sport,1000,180.0,V4,17.0,184.0,845.0,0.98
985,Aprilia,rsv4 r,2012,Sport,1000,180.0,V4,17.0,184.0,845.0,0.98
986,Aprilia,rsv4 r abs,2015,Sport,1000,184.0,V4,18.5,186.0,845.0,0.99
987,Aprilia,rsv4 r aprc,2012,Sport,1000,180.0,V4,17.0,184.0,845.0,0.98
988,Aprilia,rsv4 r aprc,2013,Sport,1000,180.0,V4,17.0,184.0,845.0,0.98
989,Aprilia,rsv4 r aprc abs,2014,Sport,1000,184.0,V4,17.0,186.0,845.0,0.99
991,Aprilia,rsv4 rf,2015,Sport,1000,201.0,V4,18.5,180.0,845.0,1.12
992,Aprilia,rsv4 rf,2016,Sport,1000,201.0,V4,18.5,180.0,845.0,1.12
993,Aprilia,rsv4 rf,2017,Sport,1000,201.0,V4,18.5,180.0,845.0,1.12
994,Aprilia,rsv4 rf,2018,Sport,1000,201.0,V4,18.5,180.0,845.0,1.12
995,Aprilia,rsv4 rf,2019,Sport,1000,201.0,V4,18.5,180.0,840.0,1.12
996,Aprilia,rsv4 rf,2020,Sport,1000,201.0,V4,18.5,180.0,840.0,1.12
997,Aprilia,rsv4 rr,2015,Sport,1000,201.0,V4,18.5,180.0,845.0,1.12
998,Aprilia,rsv4 rr,2016,Sport,1000,201.0,V4,18.5,180.0,845.0,1.12
999,Aprilia,rsv4 rr,2017,Sport,1000,201.0,V4,18.5,180.0,845.0,1.12
1000,Aprilia,rsv4 rr,2018,Sport,1000,201.0,V4,18.5,180.0,845.0,1.12
1001,Aprilia,rsv4 rr,2019,Sport,1000,201.0,V4,18.5,180.0,840.0,1.12
1002,Aprilia,rsv4 rr,2020,Sport,1000,201.0,V4,18.5,180.0,840.0,1.12
1003,Aprilia,rsv4 rr 1000,2021,Sport,1000,201.0,V4,18.5,180.0,840.0,1.12
1011,Aprilia,rx 125,2011,Enduro / Offroad,125,21.5,Single cylinder,10.0,116.0,830.0,0.19
1012,Aprilia,rx 125,2013,Enduro / Offroad,124,21.5,Single cylinder,10.0,116.0,830.0,0.19
1016,Aprilia,rx 125,2021,Enduro / Offroad,124,15.0,Single cylinder,7.5,124.0,905.0,0.12
1017,Aprilia,rx 125,2022,Enduro / Offroad,124,15.0,Single cylinder,7.0,124.0,905.0,0.12
1077,Aprilia,scarabeo 125ie,2011,Scooter,124,19.7,Single cylinder,8.5,154.0,810.0,0.13
1078,Aprilia,scarabeo 125ie,2012,Scooter,124,19.7,Single cylinder,8.5,154.0,810.0,0.13
1079,Aprilia,scarabeo 125ie,2013,Scooter,124,19.7,Single cylinder,8.5,154.0,810.0,0.13
1080,Aprilia,scarabeo 125ie,2015,Scooter,124,19.7,Single cylinder,8.5,154.0,810.0,0.13
1084,Aprilia,scarabeo 200ie,2010,Scooter,180,19.0,Single cylinder,8.0,154.0,810.0,0.12
1085,Aprilia,scarabeo 200ie,2011,Scooter,180,19.0,Single cylinder,8.0,154.0,810.0,0.12
1086,Aprilia,scarabeo 200ie,2012,Scooter,180,19.0,Single cylinder,8.0,154.0,810.0,0.12
1087,Aprilia,scarabeo 200ie,2013,Scooter,181,19.0,Single cylinder,8.0,154.0,810.0,0.12
1088,Aprilia,scarabeo 200ie,2015,Scooter,181,19.0,Single cylinder,8.0,154.0,810.0,0.12
1141,Aprilia,scarabeo 500,2012,Scooter,493,40.5,Single cylinder,13.5,169.0,785.0,0.24
1143,Aprilia,scarabeo 500ie,2013,Scooter,493,39.0,Single cylinder,13.5,189.0,780.0,0.21
1146,Aprilia,shiver 750,2010,Naked Bike,750,95.0,V2,16.0,189.0,810.0,0.5
1147,Aprilia,shiver 750,2011,Naked Bike,750,95.0,V2,16.0,189.0,810.0,0.5
1152,Aprilia,shiver 750 abs,2010,Naked Bike,750,95.0,V2,15.0,189.0,810.0,0.5
1153,Aprilia,shiver 750 abs,2011,Naked Bike,750,95.0,V2,16.0,193.0,810.0,0.49
1154,Aprilia,shiver 750 abs,2012,Naked Bike,750,95.0,V2,15.0,193.0,810.0,0.49
1155,Aprilia,shiver 750 abs,2013,Naked Bike,750,95.0,V2,15.0,193.0,810.0,0.49
1156,Aprilia,shiver 750 abs,2014,Naked Bike,750,95.0,V2,15.0,193.0,810.0,0.49
1157,Aprilia,shiver 750 abs,2015,Naked Bike,750,95.0,V2,15.0,193.0,810.0,0.49
1158,Aprilia,shiver 750 abs,2016,Naked Bike,750,95.0,V2,15.0,193.0,810.0,0.49
1159,Aprilia,shiver 750 abs,2017,Naked Bike,750,95.0,V2,15.0,193.0,810.0,0.49
1161,Aprilia,shiver 750 gt,2010,Naked Bike,750,95.0,V2,16.0,189.0,810.0,0.5
1162,Aprilia,shiver 750 gt,2011,Sport Touring,750,95.0,V2,16.0,189.0,810.0,0.5
1163,Aprilia,shiver 750 gt,2012,Sport Touring,750,95.0,V2,16.0,189.0,810.0,0.5
1164,Aprilia,shiver 750 gt abs,2010,Naked Bike,750,95.0,V2,16.0,194.0,810.0,0.49
1165,Aprilia,shiver 750 gt abs,2011,Sport Touring,750,95.0,V2,16.0,193.0,810.0,0.49
1166,Aprilia,shiver 750 gt abs,2012,Sport Touring,750,95.0,V2,16.0,193.0,810.0,0.49
1167,Aprilia,shiver 900,2017,Naked Bike,896,95.2,V2,15.0,193.0,810.0,0.49
1168,Aprilia,shiver 900,2018,Naked Bike,896,95.2,V2,15.0,193.0,810.0,0.49
1169,Aprilia,shiver 900,2019,Naked Bike,896,93.0,V2,15.0,207.0,810.0,0.45
1170,Aprilia,shiver 900,2020,Naked Bike,896,95.0,V2,15.0,207.0,810.0,0.46
1171,Aprilia,shiver 900,2021,Naked Bike,896,95.0,V2,15.0,199.0,810.0,0.48
1172,Aprilia,shiver 900,2022,Naked Bike,896,95.0,V2,15.0,199.0,810.0,0.48
1173,Aprilia,shiver 900 35kw,2022,Naked Bike,896,46.9,V2,15.0,199.0,810.0,0.24
1175,Aprilia,shiver sport 750 abs,2017,Naked Bike,750,95.0,V2,15.0,189.0,810.0,0.5
1197,Aprilia,sportcity 250,2013,Scooter,244,22.1,Single cylinder,8.97,147.9,813.0,0.15
1228,Aprilia,sr 50 factory,2021,Scooter,49,4.0,Single cylinder,7.6,107.0,795.0,0.04
1230,Aprilia,sr 50 mt,2021,Scooter,49,2.0,Single cylinder,6.5,106.0,797.0,0.02
1267,Aprilia,sr 50 street,2016,Scooter,49,3.6,Single cylinder,7.0,108.0,820.0,0.03
1281,Aprilia,sr motard 125,2012,Scooter,124,9.1,Single cylinder,7.0,122.0,775.0,0.07
1282,Aprilia,sr motard 125,2013,Scooter,124,9.1,Single cylinder,7.0,122.0,775.0,0.07
