id,Brand,Model,Year,Category,Engine Size (cc),Power (hp),Engine Cylinder,Fuel Capacity (Lts),Weight (kg),Seat Height (mm),Power-to-Weight (hp/kg)
10772,Harley-Davidson,road king,2022,Touring,1746,89.0,V2,22.71,360.2,668.0,0.25
10777,Harley-Davidson,road king classic,2016,Touring,1688,87.0,V2,22.71,353.0,715.0,0.25
10778,Harley-Davidson,road king classic,2018,Touring,1688,89.0,V2,22.71,362.0,715.0,0.25
10783,Harley-Davidson,road king special,2018,Touring,1688,87.0,V2,22.71,355.0,695.0,0.25
10784,Harley-Davidson,road king special,2019,Touring,1868,87.0,V2,22.71,355.0,695.0,0.25
10785,Harley-Davidson,road king special,2020,Touring,1868,100.0,V2,22.71,355.0,695.0,0.28
10786,Harley-Davidson,road king special,2021,Touring,1868,100.0,V2,22.71,351.1,671.0,0.28
10787,Harley-Davidson,road king special,2022,Touring,1868,100.0,V2,22.71,351.1,671.0,0.28
10788,Harley-Davidson,roadster,2020,Naked Bike,1202,67.0,V2,12.5,250.0,785.0,0.27
10843,Harley-Davidson,softail breakout,2015,Custom / Cruiser,1690,75.1,V2,18.93,309.0,660.0,0.24
10844,Harley-Davidson,softail breakout,2016,Custom / Cruiser,1690,75.1,V2,18.93,309.0,660.0,0.24
10845,Harley-Davidson,softail breakout,2017,Custom / Cruiser,1690,75.0,V2,18.93,309.0,650.0,0.24
10846,Harley-Davidson,softail breakout,2018,Custom / Cruiser,1745,86.0,V2,13.2,294.0,665.0,0.29
10847,Harley-Davidson,softail breakout,2019,Custom / Cruiser,1746,86.0,V2,13.2,294.0,665.0,0.29
10848,Harley-Davidson,softail breakout 114,2018,Custom / Cruiser,1868,94.0,V2,13.2,294.0,665.0,0.32
10849,Harley-Davidson,softail breakout 114,2019,Custom / Cruiser,1868,94.0,V2,13.2,294.0,665.0,0.32
10856,Harley-Davidson,softail deluxe,2015,Custom / Cruiser,1688,77.8,V2,18.93,312.0,622.0,0.25
10857,Harley-Davidson,softail deluxe,2016,Custom / Cruiser,1688,77.8,V2,18.93,320.0,670.0,0.24
10858,Harley-Davidson,softail deluxe,2017,Custom / Cruiser,1690,79.0,V2,18.93,320.0,670.0,0.25
